time,open,high,low,close,volume
2021-04-09,13.36,13.36,13.36,13.36,200
2021-04-12,15.34,15.34,13.67,15.34,29500
2021-04-13,15.66,15.66,15.26,15.26,2700
2021-04-14,15.42,15.42,15.42,15.42,600
2021-04-15,13.52,15.11,13.12,15.03,6500
2021-04-16,13.12,15.11,13.12,13.12,20900
2021-04-19,12.24,12.24,12.24,12.24,500
2021-04-20,13.67,13.67,12.72,12.72,300
2021-04-22,12.8,12.8,12.56,12.56,5400
2021-04-23,12.72,12.72,12.72,12.72,100
2021-04-26,12.56,12.56,11.93,11.93,600
2021-04-27,12.01,12.72,12.01,12.72,2700
2021-04-28,12.56,12.56,12.32,12.32,1100
2021-04-29,12.16,12.16,12.16,12.16,100
2021-05-04,12.01,12.16,12.01,12.08,3800
2021-05-05,12.08,12.08,11.61,11.77,1500
2021-05-06,11.53,11.53,11.13,11.13,800
2021-05-07,11.13,11.53,11.05,11.53,1400
2021-05-10,11.29,11.29,10.97,10.97,600
2021-05-11,10.73,11.21,10.73,11.21,1000
2021-05-12,10.73,10.81,10.73,10.81,200
2021-05-13,10.81,10.89,10.73,10.81,800
2021-05-14,10.81,11.13,10.81,11.13,900
2021-05-17,11.13,11.53,11.13,11.45,400
2021-05-18,11.85,11.85,11.29,11.29,4000
2021-05-19,11.13,11.21,11.13,11.21,5500
2021-05-20,11.21,11.21,10.81,10.89,300
2021-05-21,11.05,11.05,10.57,10.65,1600
2021-05-24,10.65,10.81,10.65,10.81,400
2021-05-25,10.73,10.89,10.73,10.89,300
2021-05-26,10.81,11.05,10.65,10.65,300
2021-05-27,10.65,10.65,10.34,10.34,1000
2021-05-28,10.34,10.34,9.78,9.78,400
2021-05-31,9.94,10.1,9.94,10.1,200
2021-06-01,10.1,10.34,10.1,10.26,600
2021-06-02,10.26,10.73,10.26,10.73,200
2021-06-03,10.73,11.13,10.73,11.13,300
2021-06-04,11.13,11.13,10.81,10.97,2200
2021-06-07,10.97,11.53,10.97,11.45,400
2021-06-08,11.45,11.45,11.13,11.37,300
2021-06-09,11.37,11.37,11.05,11.13,500
2021-06-10,11.13,11.13,10.81,10.97,300
2021-06-11,10.89,11.13,10.73,11.13,300
2021-06-14,11.13,11.45,11.13,11.37,700
2021-06-15,11.45,11.93,11.45,11.53,500
2021-06-16,11.53,11.53,11.13,11.37,300
2021-06-17,11.37,11.37,11.13,11.13,200
2021-06-18,11.13,11.37,10.97,11.37,300
2021-06-21,11.13,11.13,10.89,10.97,300
2021-06-22,10.97,11.53,10.97,11.37,400
2021-06-23,11.37,11.69,11.37,11.61,400
2021-06-24,11.93,12.16,11.93,12.16,200
2021-06-25,12.16,12.16,11.69,11.85,300
2021-06-28,11.85,11.85,11.29,11.29,300
2021-06-29,11.29,11.29,10.97,10.97,200
2021-06-30,10.97,10.97,10.65,10.89,300
2021-07-01,10.89,11.21,10.89,11.13,500
2021-07-02,11.13,11.29,11.13,11.29,800
2021-07-05,11.29,11.37,11.21,11.21,300
2021-07-06,11.29,11.29,11.29,11.29,100
2021-07-07,11.13,11.13,11.05,11.05,500
2021-07-08,11.05,11.05,10.34,10.65,300
2021-07-09,10.65,10.65,10.34,10.57,300
2021-07-12,10.57,10.57,10.34,10.34,200
2021-07-13,10.34,10.73,10.34,10.73,300
2021-07-14,10.57,10.57,10.42,10.49,300
